,trend_1m,trend_5m,trend_1h,trend_1d,mom_rsi_14,vol_atr_pct,vol_india_vix,vwap_distance,opt_atm_iv,opt_pcr_oi,opt_atm_oi_change_5m,time_minutes_since_open,expiry_dte,sr_dist_to_yday_high,sr_dist_to_yday_low
trend_1m,1.0,0.45530382190143864,0.006094888882629198,0.05521106510224576,0.7970246450385018,-0.021544249525512503,-0.06694332400749085,0.5063991819017679,-0.02313238349329849,-0.1737517315993976,-0.00986432758602778,0.006377864782326469,0.0835416280444228,-0.2490378906786885,0.18494475960912266
trend_5m,0.45530382190143864,1.0,0.025909057337828993,0.07316688793168682,0.42890911593486303,0.025253688056686284,-0.2422033283871786,0.5904453097983624,-0.03587799862476046,-0.09894878777105032,-0.020022398199745585,0.02263363834510662,0.1471159831229867,-0.4542891991807674,0.3916414262040404
trend_1h,0.006094888882629198,0.025909057337828993,1.0,0.5949042547559005,0.09467057776803317,0.07661314765248187,-0.6748841850280667,0.026743994584219236,-0.16049968434895467,-0.5044286006458145,0.005128029516654822,-0.06003035677234773,0.03273346888353332,0.05617703279839737,0.02114653298429357
trend_1d,0.05521106510224576,0.07316688793168682,0.5949042547559005,1.0,0.11899655768689676,0.16021776899611803,-0.47320181720576043,0.13085671259319942,-0.43611259856433265,-0.4244937074248915,-0.0023025800704632405,-0.010785254768466486,0.2599679281880333,-0.15868788161567207,0.11605314343093288
mom_rsi_14,0.7970246450385018,0.42890911593486303,0.09467057776803317,0.11899655768689676,1.0,-0.07548467304583424,-0.14352976385093186,0.5194851451344404,-0.07612996449614372,-0.32552040444160296,-0.01087577554742617,0.03710256792500572,0.10396640681444641,-0.2703610284941588,0.2122863698173533
vol_atr_pct,-0.021544249525512503,0.025253688056686284,0.07661314765248187,0.16021776899611803,-0.07548467304583424,1.0,0.048821144032178125,0.18600202174021283,-0.02493748755293706,0.14387351728658793,-0.017819480949259774,-0.36993054244925755,-0.03153953769105415,-0.03637796479373387,-0.013040259412240924
vol_india_vix,-0.06694332400749085,-0.2422033283871786,-0.6748841850280667,-0.47320181720576043,-0.14352976385093186,0.048821144032178125,1.0,-0.22384629100300868,-0.0691809212017508,0.4004099502829145,0.025341258110228807,0.039779126809432935,-0.4670857990933234,0.28839331933694645,-0.31221015516036194
vwap_distance,0.5063991819017679,0.5904453097983624,0.026743994584219236,0.13085671259319942,0.5194851451344404,0.18600202174021283,-0.22384629100300868,1.0,0.017273301260113484,0.04373438750788945,-0.005619212694239028,0.03785750149394518,0.05045520055128469,-0.2965199413706415,0.1351323396923177
opt_atm_iv,-0.02313238349329849,-0.03587799862476046,-0.16049968434895467,-0.43611259856433265,-0.07612996449614372,-0.02493748755293706,-0.0691809212017508,0.017273301260113484,1.0,0.18149122660400366,0.06869765347575851,-0.01795438534756923,0.3122513556186039,-0.09484750256066247,-0.09145770724734988
opt_pcr_oi,-0.1737517315993976,-0.09894878777105032,-0.5044286006458145,-0.4244937074248915,-0.32552040444160296,0.14387351728658793,0.4004099502829145,0.04373438750788945,0.18149122660400366,1.0,-0.06612551549183418,0.07386905037884259,-0.19242840414496237,0.1798057500565624,-0.2244125315517672
opt_atm_oi_change_5m,-0.00986432758602778,-0.020022398199745585,0.005128029516654822,-0.0023025800704632405,-0.01087577554742617,-0.017819480949259774,0.025341258110228807,-0.005619212694239028,0.06869765347575851,-0.06612551549183418,1.0,-0.018890118177213335,-0.04214172616805502,0.03340754624018246,-0.019439666634294476
time_minutes_since_open,0.006377864782326469,0.02263363834510662,-0.06003035677234773,-0.010785254768466486,0.03710256792500572,-0.36993054244925755,0.039779126809432935,0.03785750149394518,-0.01795438534756923,0.07386905037884259,-0.018890118177213335,1.0,0.060786811175942236,-0.07755618022322165,0.05401868257069971
expiry_dte,0.0835416280444228,0.1471159831229867,0.03273346888353332,0.2599679281880333,0.10396640681444641,-0.03153953769105415,-0.4670857990933234,0.05045520055128469,0.3122513556186039,-0.19242840414496237,-0.04214172616805502,0.060786811175942236,1.0,-0.8034736563908184,0.6661239135393748
sr_dist_to_yday_high,-0.2490378906786885,-0.4542891991807674,0.05617703279839737,-0.15868788161567207,-0.2703610284941588,-0.03637796479373387,0.28839331933694645,-0.2965199413706415,-0.09484750256066247,0.1798057500565624,0.03340754624018246,-0.07755618022322165,-0.8034736563908184,1.0,-0.9219659913842048
sr_dist_to_yday_low,0.18494475960912266,0.3916414262040404,0.02114653298429357,0.11605314343093288,0.2122863698173533,-0.013040259412240924,-0.31221015516036194,0.1351323396923177,-0.09145770724734988,-0.2244125315517672,-0.019439666634294476,0.05401868257069971,0.6661239135393748,-0.9219659913842048,1.0
