feat_a,feat_b,correlation
time_minute_of_day,time_minutes_since_open,1.0
time_minutes_since_open,time_minutes_to_close,-1.0
time_minute_of_day,time_minutes_to_close,-1.0
vol_atr_14,vol_atr_14_pct,0.9997
trend_ema_5,trend_ema_20,0.9973
trend_ema_20,trend_ema_50,0.9961
trend_ema_5,trend_ema_50,0.9888
trend_spot_vs_ema20,trend_spot_vs_ema50,0.9036
trend_spot_vs_ema20,mom_roc_15,0.8956
expiry_dte,expiry_is_dte_le2,-0.8944
trend_spot_vs_ema5,mom_roc_5,0.8749
trend_spot_vs_ema20,trend_ema5_slope,0.8698
trend_spot_vs_ema20,mom_rsi_14,0.8644
trend_ema_5,vol_vix,-0.8598
trend_ema5_slope,mom_roc_5,0.856
vol_atr_14_pct,vol_realized_30,0.8543
trend_ema_20,vol_vix,-0.8541
vol_atr_14,vol_realized_30,0.8528
