feature,max_lift,min_lift,lift_spread,max_bucket_n
vol_realized_30,2.3293,0.2295,2.0998,628
vol_atr_14_pct,2.3414,0.3399,2.0015,635
vol_atr_14,2.3414,0.3777,1.9637,635
opt_max_pain_offset,1.8822,0.0,1.8822,647
time_day_of_week,2.0945,0.3794,1.7151,790
expiry_dte,2.0945,0.3794,1.7151,926
time_minute_of_day,1.9984,0.2998,1.6986,640
time_minutes_since_open,1.9984,0.2998,1.6986,640
time_minutes_to_close,2.0015,0.3031,1.6984,639
opt_atm_iv,2.2942,0.606,1.6882,555
vol_vix,1.9032,0.3346,1.5686,645
opt_atm_pe_iv,1.8148,0.3025,1.5123,555
trend_ema5_slope,1.8185,0.4917,1.3268,634
mom_consecutive_up,1.6731,0.4996,1.1735,1261
vol_vix_change_1d,1.6948,0.6588,1.036,566
opt_iv_skew,1.6974,0.6893,1.0081,661
trend_ema20_slope,1.3323,0.3431,0.9892,630
trend_ema_5,1.5484,0.5665,0.9819,635
trend_ema_50,1.5484,0.5665,0.9819,635
trend_ema_20,1.5484,0.642,0.9064,635
mom_rsi_14,1.3239,0.4539,0.87,634
trend_spot_vs_ema20,1.5484,0.6808,0.8676,635
opt_pcr_oi,1.5042,0.6864,0.8178,559
mom_roc_60,1.3151,0.5811,0.734,620
trend_spot_vs_ema5,1.3239,0.6798,0.6441,635
mom_roc_15,1.3682,0.7601,0.6081,631
mom_rsi_14_slope,1.2502,0.644,0.6062,634
expiry_is_dte0,1.0744,0.4687,0.6057,2232
opt_atm_ce_oi_change_5m,1.5069,0.9041,0.6028,558
mom_roc_5,1.2502,0.6808,0.5694,634
trend_spot_vs_ema50,1.1707,0.6052,0.5655,635
opt_atm_pe_oi_change_5m,1.3395,0.775,0.5645,559
trend_vwap_distance,1.286,0.7553,0.5307,635
opt_total_oi_change_5m,1.2893,0.858,0.4313,559
expiry_is_dte_le2,1.0508,0.8482,0.2026,1917
trend_higher_high_20,1.0241,0.8241,0.2,2248
trend_above_vwap,1.1008,0.9236,0.1772,1428
trend_lower_low_20,1.064,0.993,0.071,2246
