feature,max_lift,min_lift,lift_spread,max_bucket_n
vol_vix,1.2621,0.6734,0.5887,645
opt_atm_iv,1.1689,0.6676,0.5013,555
vol_atr_14_pct,1.2657,0.7658,0.4999,635
vol_atr_14,1.2624,0.7789,0.4835,635
time_day_of_week,1.1481,0.705,0.4431,790
expiry_dte,1.1481,0.705,0.4431,926
vol_vix_change_1d,1.2484,0.849,0.3994,566
vol_realized_30,1.2272,0.8502,0.377,628
trend_vwap_distance,1.1732,0.8004,0.3728,635
trend_spot_vs_ema20,1.1993,0.8297,0.3696,635
opt_iv_skew,1.1399,0.7719,0.368,661
trend_spot_vs_ema50,1.1764,0.8167,0.3597,635
opt_max_pain_offset,1.2021,0.8655,0.3366,647
mom_roc_15,1.146,0.8382,0.3078,631
trend_ema_5,1.1486,0.8492,0.2994,635
trend_spot_vs_ema5,1.1406,0.8427,0.2979,635
mom_rsi_14,1.1504,0.8603,0.2901,634
mom_roc_60,1.103,0.8231,0.2799,620
opt_pcr_oi,1.1367,0.8575,0.2792,559
trend_ema20_slope,1.138,0.8592,0.2788,630
trend_ema5_slope,1.0967,0.8212,0.2755,634
mom_roc_5,1.1163,0.8473,0.269,634
time_minutes_since_open,1.0944,0.8446,0.2498,640
time_minute_of_day,1.0944,0.8446,0.2498,640
trend_ema_20,1.1616,0.9176,0.244,635
time_minutes_to_close,1.0869,0.8492,0.2377,639
opt_atm_pe_iv,1.0982,0.8615,0.2367,555
trend_above_vwap,1.1121,0.913,0.1991,1428
trend_ema_50,1.1356,0.9403,0.1953,635
mom_consecutive_up,1.127,0.937,0.19,1261
opt_atm_ce_oi_change_5m,1.072,0.8849,0.1871,558
opt_atm_pe_oi_change_5m,1.0405,0.8643,0.1762,559
opt_total_oi_change_5m,1.0368,0.8612,0.1756,559
trend_lower_low_20,1.0156,0.8814,0.1342,2246
expiry_is_dte0,1.0099,0.9287,0.0812,2232
mom_rsi_14_slope,1.0314,0.9516,0.0798,634
expiry_is_dte_le2,1.0153,0.9533,0.062,1917
trend_higher_high_20,1.0508,0.9935,0.0573,2248
